topics,pulsarId,week_tag
Oceans,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
International law,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Oceanography,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Exclusive economic zone,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Fisheries law,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Environmental law,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Geography,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Asia,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Diplomacy,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Foreign relations,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Disputed territories,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
International disputes,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Bodies of water,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Cultural globalization,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
China,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Marine conservation,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Fishing and the environment,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Causes of war,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
International security,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Politics of East Asia,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Water,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Coastal geography,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Foreign policy,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Natural resources law,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Territorial disputes,0_87317_126_t1_j08q922,from 2022-12-08 to 2022-12-14
Military science,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Military aviation,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Ships,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Warships,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Military,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Warfare,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Military technology,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Naval warfare,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Nuclear warfare,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Water transport,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
International security,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Anti-ship missile,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Aircraft carrier,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Shipping,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Aviation,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Taiwan,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Aircraft carriers,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Battle,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Missile,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Weapons,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
United States,0_87317_126_t1_j08ospt,from 2022-12-08 to 2022-12-14
Chronology of war,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Violent conflict,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
National security,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Wars,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
International security,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
War,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Military,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Conflicts,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Military operations,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Warfare,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Warfare of the late modern period,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
2nd-millennium conflicts,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Conflict (process),0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Defense,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Political violence,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Battle,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Military science,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Hazards,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Global conflicts,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Man-made disasters,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Government institutions,0_87317_126_t1_j08gio2,from 2022-12-08 to 2022-12-14
Hazards,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Crime,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Water transport,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Maritime incidents,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Ships,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Issues in ethics,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Shipwrecks,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Crimes,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Misconduct,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Shipping,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Justice,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Corruption,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Law,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Social issues,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Maritime disasters,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Law enforcement,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Deviance (sociology),0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Watercraft,0_87317_126_t1_j084cvf,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
Global politics,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
Foreign policy,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
Diplomacy,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
Political science,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
Political theories,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
Foreign relations,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
China,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
Asia,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
National security,0_87317_126_t1_j07qszi,from 2022-12-08 to 2022-12-14
China,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
United States,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
Economy,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
Economies,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
Energy,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
Latin America,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
Food,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
Nature,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
Trade,0_87317_126_t1_j07i68f,from 2022-12-08 to 2022-12-14
South China Sea,0_87317_126_t1_j07ghig,from 2022-12-08 to 2022-12-14
Taiwan,0_87317_126_t1_j07ghig,from 2022-12-08 to 2022-12-14
South China Sea,0_87317_126_t1_j07g8d4,from 2022-12-08 to 2022-12-14
Taiwan,0_87317_126_t1_j07g8d4,from 2022-12-08 to 2022-12-14
International security,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Conflicts,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
International relations,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Military,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Galwan River,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Rajnath Singh,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
People's Liberation Army,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Manoj Mukund Naravane,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Line of Actual Control,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Indian Army,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
India,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Politics,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Rashtriya Rifles,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Tawang,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Battalion,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Indian Peace Keeping Force,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Wars,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
China,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Asia,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Military of India,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
Government,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
Global politics,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
Human rights,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
Diplomacy,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
Politics of Asia,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
Conflicts,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
Military,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
Global politics,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
Exclusive economic zone,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
Global politics,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
Foreign policy,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
Diplomacy,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
Government,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
Petroleum,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Iraq,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Improvised explosive device,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Islamic State,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Terrorism,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Russia,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Iraqi Ground Forces,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Conflicts,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Barrel (unit),0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Russo-Ukrainian War,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Baghdad,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Warfare,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
National security,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
War,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Man-made disasters,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Ukraine,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Flood,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Military,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
Taiwan,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
China,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Latin words and phrases,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Legal writing,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Law,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Legal concepts,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Jargon,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Legal communication,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Republic of China (1912–1949),0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Justice,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Indo-European words and phrases,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Kinmen,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Taiping Island,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Writings,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Works about law,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Vocabulary,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Culture,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Archaic words and phrases,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Language varieties and styles,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Language,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Languages of Europe,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
Languages written in Latin script,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
War,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Wars,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Military operations,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Military,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Warfare,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Conflicts,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
China,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Cold War conflicts,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Warfare of the late modern period,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
2nd-millennium conflicts,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Man-made disasters,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Asia,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
International security,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Late modern period,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
Sir Creek,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
China,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
International relations,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Politics,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Global politics,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Diplomacy,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Foreign policy,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Foreign relations,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Government,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Line of Actual Control,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Asia,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Sino-Indian border dispute,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Politics of Asia,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Politics of China,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Line of Control,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Politics of East Asia,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
Foreign relations of China,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Politics of East Asia,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Government,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Asia,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Foreign policy,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
International relations,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Politics,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Global politics,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Diplomacy,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Politics of China,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
China,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Politics of Asia,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Sovereignty,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
South China Sea,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Territorial disputes in the South China Sea,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Foreign relations,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
International law,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Philippines,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Ferdinand Marcos,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
Economy,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
